date,open,high,low,close,volume,Name
1546214400000,242.13,242.16,241.18,242.13,25879561,AAPL
1546300800000,242.43,245.36,239.65,243.23,44464946,AAPL
1546387200000,244.62,248.29,243.19,246.22,31592282,AAPL
1546473600000,246.09,247.75,245.76,247.26,41551454,AAPL
1546732800000,249.57,253.36,244.64,249.12,31330353,AAPL
1546819200000,248.08,251.1,246.27,248.24,3489293,AAPL
1546905600000,247.89,251.48,244.3,251.39,28824537,AAPL
1546992000000,251.82,253.56,248.83,249.41,17486345,AAPL
1547078400000,248.85,249.73,248.8,249.34,34908690,AAPL
1547337600000,248.36,250.81,245.31,248.86,35331104,AAPL
1547424000000,250.22,251.07,247.87,249.33,37595122,AAPL
1547510400000,249.48,252.81,248.16,250.04,24018779,AAPL
1547596800000,247.7,252.3,244.87,249.34,23120573,AAPL
1547683200000,249.44,250.66,248.8,249.13,17537894,AAPL
1547942400000,247.08,249.99,245.91,247.44,28923118,AAPL
1548028800000,249.16,250.11,245.02,245.13,34550169,AAPL
1548115200000,247.19,248.53,245.76,247.41,9247685,AAPL
1548201600000,248.81,249.33,248.25,249.31,50687004,AAPL
1548288000000,249.67,252.3,248.75,252.28,31788584,AAPL
1548547200000,252.19,256.33,251.61,255.69,41467328,AAPL
1548633600000,255.59,257.3,252.71,255.85,28504162,AAPL
1548720000000,257.15,257.61,253.92,254.85,40694018,AAPL
1548806400000,254.74,256.93,252.69,256.71,19976884,AAPL
1548892800000,257.14,261.92,256.68,258.27,50675766,AAPL
1549152000000,256.93,258.75,256.07,257.58,32924695,AAPL
1549238400000,257.72,262.69,253.37,258.29,30180924,AAPL
1549324800000,255.98,260.8,253.39,253.93,2047108,AAPL
1549411200000,253.9,254.58,253.88,254.53,44963128,AAPL
1549497600000,253.45,257.03,248.98,250.9,15470592,AAPL
1549756800000,251.97,252.18,250.94,251.08,46284776,AAPL
1549843200000,252.1,254.9,251.12,251.85,24203936,AAPL
1549929600000,253,256.15,249.52,250.33,40479073,AAPL
1550016000000,249.63,253.53,248.33,253.51,45967027,AAPL
1550102400000,255.46,260.37,252.5,258.58,21623286,AAPL
1550361600000,256.47,258.48,251.92,257.81,22921971,AAPL
1550448000000,256.16,259.19,255.9,257.83,40227690,AAPL
1550534400000,258.55,259.61,254.35,254.43,45634885,AAPL
1550620800000,255.53,255.86,252.31,254.59,4246540,AAPL
1550707200000,254.36,254.78,254.26,254.77,44172604,AAPL
1550966400000,252.47,256.46,251.14,254.42,23470072,AAPL
1551052800000,253.49,253.89,250.38,250.54,16524601,AAPL
1551139200000,250.16,252.83,248.45,248.88,16018016,AAPL
1551225600000,247.43,247.49,243.89,246.97,1755491,AAPL
1551312000000,248.84,249.44,247.88,249.25,20209234,AAPL
1551571200000,249.26,253.04,246.54,250.72,31139998,AAPL
1551657600000,251.54,252.29,250.35,250.46,5169178,AAPL
1551744000000,250.78,255.32,248.1,250.71,15473316,AAPL
1551830400000,249.17,249.45,247.85,249.43,19359089,AAPL
1551916800000,249.53,252.82,249.51,250.32,42439967,AAPL
1552176000000,251.47,252.73,249.4,249.72,42577146,AAPL
1552262400000,249.06,250.02,246.86,249.58,48827448,AAPL
1552348800000,248.81,252.18,248.17,250.47,11851100,AAPL
1552435200000,250.52,253.04,249.68,252.94,4795258,AAPL
1552521600000,250.76,251.37,246.32,246.73,10475760,AAPL
1552780800000,244.5,246.5,243.41,246.06,42487075,AAPL
1552867200000,245.02,248.05,240.74,245.85,6863067,AAPL
1552953600000,244.64,245.38,242.95,244.66,5073852,AAPL
1553040000000,242.52,245.12,239.85,241.43,49813749,AAPL
1553126400000,242.41,245.39,241.58,243.49,36811383,AAPL
1553385600000,245.57,247.63,240.78,242.91,43213496,AAPL
1553472000000,241.81,246.01,238.29,239.98,43119994,AAPL
1553558400000,240.41,244.62,240.09,244.44,39645023,AAPL
1553644800000,246.54,247.7,241.84,244.32,40631469,AAPL
1553731200000,242.04,242.17,237.82,238.06,25833200,AAPL
1553990400000,237.67,242.07,234.49,238.07,49611814,AAPL
1554076800000,239.18,243.14,239.08,242.31,9081769,AAPL
1554163200000,242.43,246.55,238.15,241.17,40515521,AAPL
1554249600000,242.94,244.3,242.04,244.16,14662669,AAPL
1554336000000,242.09,245.66,240.53,240.69,8624461,AAPL
1554595200000,238.77,242.74,234.9,237.58,4038141,AAPL
1554681600000,235.39,239.34,233.78,237.43,40695812,AAPL
1554768000000,237.73,240.37,235.34,237.22,2071631,AAPL
1554854400000,237.68,238.59,237.36,238.57,49717719,AAPL
1554940800000,239.61,244.34,235.64,241.67,30023509,AAPL
1555200000000,242.63,243.63,240.4,240.71,36112404,AAPL
1555286400000,238.78,241.21,235.67,239.58,44264966,AAPL
1555372800000,237.47,240.42,235.11,235.13,32005948,AAPL
1555459200000,236.96,238.94,235.14,236.98,50099057,AAPL
1555545600000,235.3,239.44,235.09,237.2,33327734,AAPL
1555804800000,235.51,237.73,233.94,234.69,44167863,AAPL
1555891200000,236.68,241.06,234.93,238.16,2231925,AAPL
1555977600000,240.05,241.27,236.59,237.24,3592698,AAPL
1556064000000,236.38,239.12,235.75,238.74,18659947,AAPL
1556150400000,239.86,242.55,239.12,242.28,37483993,AAPL
1556409600000,240.86,241.97,237.41,239.98,40043092,AAPL
1556496000000,238.68,239.15,234.52,236.59,50816067,AAPL
1556582400000,237.02,240.94,236.68,239.27,10999893,AAPL
1556668800000,237.44,239.89,233.91,238.64,43100403,AAPL
1556755200000,240.33,240.96,237.42,239.43,36063455,AAPL
1557014400000,237.48,238.64,236.82,237.26,50997334,AAPL
1557100800000,239.05,241.08,238.19,238.73,37225740,AAPL
1557187200000,236.45,239.01,234.96,236.62,6569291,AAPL
1557273600000,238.16,241.92,236.53,239.26,14472214,AAPL
1557360000000,239.02,242.47,237.29,241.41,44520792,AAPL
1557619200000,243.59,247.14,239.29,243.91,44535117,AAPL
1557705600000,244.61,245.29,244.17,245.14,10228401,AAPL
1557792000000,245.77,247.86,242.78,243.33,9535120,AAPL
1557878400000,243.55,244.7,239.03,239.27,35840883,AAPL
1557964800000,239.29,242.71,235.58,238.78,13912177,AAPL
1558224000000,237.54,237.9,236.34,237.65,18558168,AAPL
1558310400000,239.67,241.16,236.48,238.91,39576816,AAPL
1558396800000,237.66,237.78,235.96,237.75,40489164,AAPL
1558483200000,236.07,239.34,231.91,237.35,11988941,AAPL
1558569600000,235.71,236.5,231.09,234.79,47846590,AAPL
1558828800000,234.95,239.6,232.2,236.62,31879810,AAPL
1558915200000,237.48,241.13,235.52,237.42,49488919,AAPL
1559001600000,237.79,241.49,233.48,236.92,1581726,AAPL
1559088000000,236.21,240.7,232.65,236.95,10059425,AAPL
1559174400000,237.07,238.59,235.66,235.99,27086079,AAPL
1559433600000,238.37,242.86,236.09,239.59,46765311,AAPL
1559520000000,237.4,242.09,236.32,238.73,6479575,AAPL
1559606400000,239.39,240.39,237.73,240.1,47005722,AAPL
1559692800000,238.47,241.14,233.88,237.59,11957338,AAPL
1559779200000,235.96,239.68,231.28,237.64,33061783,AAPL
1560038400000,237.41,237.5,234.89,235,3266565,AAPL
1560124800000,233.99,234.74,229.8,231.08,9089128,AAPL
1560211200000,232.4,233.38,231.19,232.3,8010804,AAPL
1560297600000,233.31,236.91,228.67,233.11,42178939,AAPL
1560384000000,234.59,238,229.95,230.16,42619462,AAPL
1560643200000,229.89,230.67,229.65,230.65,4107362,AAPL
1560729600000,230.36,233.41,225.93,227.43,42948748,AAPL
1560816000000,226.56,229.44,223.29,227.36,35804872,AAPL
1560902400000,226.34,229.27,223.97,228.14,28935884,AAPL
1560988800000,228.82,229.51,228.46,229.49,22898112,AAPL
1561248000000,230.1,230.38,230.04,230.3,46422815,AAPL
1561334400000,230.45,230.49,229.45,230.34,14729838,AAPL
1561420800000,232.54,232.62,231.28,232.16,41524763,AAPL
1561507200000,231.5,235.33,230.5,235.01,13304669,AAPL
1561593600000,234.74,237.9,231.41,236.25,17943862,AAPL
1561852800000,235.36,238.42,231.3,232.9,36199667,AAPL
1561939200000,234.61,235.14,233.32,235.1,22114515,AAPL
1562025600000,233.37,236.72,230.64,235.74,34625608,AAPL
1562112000000,238.14,238.77,238.04,238.74,27592358,AAPL
1562198400000,237.47,238.38,234.79,237.04,9270991,AAPL
1562457600000,237.15,240.12,235.73,236.32,30565304,AAPL
1562544000000,236.46,238.71,235.87,237.57,36625095,AAPL
1562630400000,237.36,240.56,236.7,237.97,11124416,AAPL
1562716800000,238.01,242.35,236.45,239.26,2055885,AAPL
1562803200000,239.03,243.33,236.91,238.24,21339913,AAPL
1563062400000,236.05,236.16,232.67,233.03,18612981,AAPL
1563148800000,234.27,235.4,233.26,235.21,17687688,AAPL
1563235200000,237.15,239.66,234.25,237.19,40150690,AAPL
